source_ctuid,target_ctuid,w_pop,w_dwe
0010001.00,0010001.00,1.0000000000,1.0000000000
0010002.00,0010002.00,1.0000000000,1.0000000000
0010003.01,0010003.01,1.0000000000,1.0000000000
0010003.02,0010003.02,1.0000000000,1.0000000000
0010004.00,0010004.00,1.0000000000,1.0000000000
0010005.01,0010005.01,1.0000000000,1.0000000000
0010005.02,0010005.02,1.0000000000,1.0000000000
0010006.00,0010006.00,1.0000000000,1.0000000000
0010007.00,0010007.00,1.0000000000,1.0000000000
0010008.00,0010008.00,1.0000000000,1.0000000000
0010009.00,0010009.00,1.0000000000,1.0000000000
0010010.00,0010010.00,1.0000000000,1.0000000000
0010011.00,0010011.00,1.0000000000,1.0000000000
0010012.00,0010012.00,1.0000000000,1.0000000000
0010013.00,0010013.00,1.0000000000,1.0000000000
0010014.00,0010014.00,1.0000000000,1.0000000000
0010015.01,0010015.01,1.0000000000,1.0000000000
0010015.02,0010015.02,1.0000000000,1.0000000000
0010015.03,0010015.03,1.0000000000,1.0000000000
0010015.04,0010015.04,1.0000000000,1.0000000000
0010016.00,0010016.01,0.3586089453,0.3218736032
0010016.00,0010016.02,0.6413910547,0.6781263968
0010017.00,0010017.00,1.0000000000,1.0000000000
0010100.01,0010100.01,1.0000000000,1.0000000000
0010100.03,0010100.03,1.0000000000,1.0000000000
0010100.04,0010100.04,1.0000000000,1.0000000000
0010110.00,0010110.00,1.0000000000,1.0000000000
0010170.01,0010170.01,1.0000000000,1.0000000000
0010170.02,0010170.02,1.0000000000,1.0000000000
0010171.00,0010171.00,1.0000000000,1.0000000000
0010172.02,0010172.02,1.0000000000,1.0000000000
0010172.03,0010172.03,1.0000000000,1.0000000000
0010172.04,0010172.04,1.0000000000,1.0000000000
0010172.05,0010172.05,1.0000000000,1.0000000000
0010172.06,0010172.06,1.0000000000,1.0000000000
0010200.01,0010200.01,1.0000000000,1.0000000000
0010200.02,0010200.02,1.0000000000,1.0000000000
0010200.03,0010200.03,1.0000000000,1.0000000000
0010201.00,0010201.00,1.0000000000,1.0000000000
0010202.01,0010202.01,1.0000000000,1.0000000000
0010202.02,0010202.02,1.0000000000,1.0000000000
0010202.04,0010202.04,1.0000000000,1.0000000000
0010202.05,0010202.05,1.0000000000,1.0000000000
0010300.00,0010300.00,1.0000000000,1.0000000000
0010301.01,0010301.01,1.0000000000,1.0000000000
0010301.02,0010301.02,1.0000000000,1.0000000000
0010302.00,0010302.00,1.0000000000,1.0000000000
2050001.00,2050001.00,1.0000000000,1.0000000000
2050002.00,2050002.00,1.0000000000,1.0000000000
2050003.00,2050003.00,1.0000000000,1.0000000000
